Video Date,Session Number,Grasped?,Notes,Object
2024/09/05 16:16 (GMT+1),8,☑️ - Manipulated or Pinched - No Grasp,Ant walks over the seed and pulls the seed using its fore and midlegs. The ant traces the mandibles along the edge of the seed and senses along the seed with the antennae. The ant does not attempt any grasp and walks away.,Nyjer
2024/09/05 16:16 (GMT+1),9,☑️ - Manipulated or Pinched - No Grasp,The video starts with the ant interacting with the seed. The ant climbs onto the seed while sensing it with the antennae but does not attempt to pinch the seed and the amount of movement caused by manipulation is minimal and foreleg contact may improve stabilisation rather than be useful for active pulling of the seed.,Nyjer
2024/09/05 16:16 (GMT+1),10,✅ - Grasped + Dropped,"The first ant senses an object and manipulates it using its forelegs and mandibles. A second ant senses the object with its antennae and then leaves. The first ant grasps and lifts the object, dragging it away.",Nyjer
2024/09/05 16:16 (GMT+1),11,✅✅ - Grasped and Carried Away,"Ant comes into frame at 0:22 and senses and manipulates the object using antenna, forelimbs and mandibles before picking the object up and carrying it away.",Nyjer
2024/09/05 16:16 (GMT+1),12,✅✅ - Grasped and Carried Away,"The first section shows the experimenter rearranging the seed. The first ant senses the object using its antennae and also manipulates the object using its forelimbs. It attempts to grasp the object and then walks away. A larger ant approaches and senses the object using its antennae, then walks away. Another ant senses and manipulates the object without grasping it. The final ant senses and manipulates the object before it picks it up and walks away. It is unclear from the video whether all the ants mentioned in the description are distinct.",Nyjer
2024/09/05 16:16 (GMT+1),13,✅✅ - Grasped and Carried Away,"Ant senses the object, and manipulates it using its forelimbs to drag the object under the ants body then grasps the object and levers it out of frame. The ant walks through the frame shortly after with the object in its mandibles.",Nyjer
2024/09/05 16:16 (GMT+1),17,✅✅ - Grasped and Carried Away,"First ant interacts with the object at 0:17. It senses the object using antennae and mouthparts, then manipulates the object using the forelegs. Another ant arrives and senses the object before the first ant walks away. The second ant uses its mandibles and forelegs to manipulate the object, making multiple grasp attempts before lifting and carrying the object away.",Nyjer
2024/09/05 16:16 (GMT+1),18,☑️ - Manipulated or Pinched - No Grasp,"The video begins mid-interaction, where an ant is sensing the seed. A larger ant approaches as the first ant leaves and begins to interact with the seed. The ant holds the seed with its forelegs as it uses its antennae to sense the seed but it does not make any grasp attempt.",Nyjer
2024/09/05 16:16 (GMT+1),19,✅✅ - Grasped and Carried Away,A single ant senses the seed using antennae then manipulates it with the forelimbs and mandibles while searching for a grasp location. By 0:08 it grasps the object and carries the seed away.,Nyjer
2024/09/05 16:16 (GMT+1),20,✅✅ - Grasped and Carried Away,"Although there are multiple ants in the scene, only one ant interacts with the seed by quickly sensing then grasping it. The object is out of frame when lifted. Ant carries the seed away.",Nyjer
2024/09/05 16:16 (GMT+1),21,✅✅ - Grasped and Carried Away,Single ant senses a seed using its antennae and mandibles then quickly grasps and drags the object out of frame.,Nyjer
2024/09/05 16:16 (GMT+1),22,✅✅ - Grasped and Carried Away,"First ant moves into the scene and senses the object, also manipulating it with the forelimbs. Another ant arrives shortly after to sense the object simultaneously but does not manipulate it. A third ant senses the object and leaves without manipulating it. A fourth ant arrives and senses the object, and manipulates it using forelegs before it grasps using the mandibles and carries the seed away.",Nyjer
